Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Device Name,Notes,Details,Event Type,Location,Dining Option,Customer ID,Customer Name,Customer Reference ID,Unit,Count,Itemization Type,Fulfillment Note,Channel,Token,Card Brand,PAN Suffix
2025-06-18,15:18:00,Arizona,None,Banana Puddin Latte + Cherry Bomb Matcha Latte,1.0,,,,US$16.00,US$0.00,US$16.00,US$1.37,lMd1BH8wEeTFqqFbflx7MTMbAlUZY,dGOFmC5WeRbuHWANsNzDiigusMbZY,,Thank you!,https://app.squareup.com/dashboard/sales/transactions/lMd1BH8wEeTFqqFbflx7MTMbAlUZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,,4ME10Z25PTRDT17RQ5NMXZKRHG,Maricela Rodriguez,,ea,1,,Thank you!,Payment Links,,Visa,953
2025-06-18,09:56:24,Arizona,Espresso Basics,Espresso,1.0,Regular,,"Iced 24 oz, Chocolate SF, Heavy cream",US$4.50,US$0.00,US$4.50,US$0.25,d49RPa14bGkRI9HJ8ePuIXN0zxTZY,tu6nmD4Yc5aUpK8uxCvSV76LAJRZY,Square Terminal 4334,,https://app.squareup.com/dashboard/sales/transactions/d49RPa14bGkRI9HJ8ePuIXN0zxTZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,5DLZUEVG32U4ULAYKR55LYCF,,
2025-06-18,09:39:39,Arizona,Specialty Espresso,Cinnamoney,1.0,Regular,,"Iced 24 oz, Oat milk, 1/2 sweet",US$7.50,US$0.00,US$7.50,US$0.42,Fykn1GmBwzcxAre346mxGKD0g4NZY,hciKOQ06wJyWwjArRwf8s4X0sFBZY,Square Terminal 4334,Brown sugar cinnamon & honey,https://app.squareup.com/dashboard/sales/transactions/Fykn1GmBwzcxAre346mxGKD0g4NZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,Q4WJJLJZ4PCER4N42ZR54X2P,MasterCard,2264
2025-06-18,09:18:58,Arizona,Espresso Basics,Latte,1.0,,,"Iced 24 oz, Vanilla, Whole, Caramel driz",US$7.00,US$0.00,US$7.00,US$0.39,Be7XKQS9mlYJs2Df31lhhXspXTXZY,LVY4G3JNDkQhUcgZUYtXi3D3t8LZY,Square Terminal 4334,,https://app.squareup.com/dashboard/sales/transactions/Be7XKQS9mlYJs2Df31lhhXspXTXZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,1FZBVRSRSD20SVRQWFKETTBHKW,,,ea,1,Physical Good,,Toasted Bean Coffee,BBYPN4GBWJKTYO3JCNVABUAC,Visa,3215
2025-06-18,09:18:58,Arizona,June specials,Cherry bomb matcha,1.0,Regular,,"Iced 24 oz, Whole",US$8.00,US$0.00,US$8.00,US$0.45,Be7XKQS9mlYJs2Df31lhhXspXTXZY,LVY4G3JNDkQhUcgZUYtXi3D3t8LZY,Square Terminal 4334,"Matcha with cherry, vanilla, cherry cold foam, and edible toppings",https://app.squareup.com/dashboard/sales/transactions/Be7XKQS9mlYJs2Df31lhhXspXTXZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,1FZBVRSRSD20SVRQWFKETTBHKW,,,ea,1,Physical Good,,Toasted Bean Coffee,IZ3CMDGJKEDYXGHIAKMQVSRE,Visa,3215
2025-06-18,08:50:55,Arizona,Specialty Espresso,The Triple C,1.0,Regular,,"Iced 24 oz, Whole",US$7.50,US$0.00,US$7.50,US$0.42,BS5HrPducooDy613Ich3AqstQsEZY,bf96eNAS5UxCQpbTSJUlMyaJj7dZY,Square Terminal 4334,"Chocolate, Coconut, Caramel + topped with Coconut Cold foam & Caramel Drizzle",https://app.squareup.com/dashboard/sales/transactions/BS5HrPducooDy613Ich3AqstQsEZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,HKHVHBVF609QBTCCWZVBXTRYQ8,Andre Riddick,,ea,1,Physical Good,,Toasted Bean Coffee,2AQGXW6H3FPWOTN5ZTAE2PGQ,Visa,2011
2025-06-18,08:50:55,Arizona,Specialty Espresso,Go Bananas Girl,2.0,Regular,,"Iced 24 oz, Whole",US$15.00,US$0.00,US$15.00,US$0.84,BS5HrPducooDy613Ich3AqstQsEZY,bf96eNAS5UxCQpbTSJUlMyaJj7dZY,Square Terminal 4334,"Chocolate, Banana, Hazelnut + topped with whip cream & choco drizzle",https://app.squareup.com/dashboard/sales/transactions/BS5HrPducooDy613Ich3AqstQsEZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,HKHVHBVF609QBTCCWZVBXTRYQ8,Andre Riddick,,ea,2,Physical Good,,Toasted Bean Coffee,KTRNOWCOKJPRKPT44TCF5C2D,Visa,2011
2025-06-18,08:50:55,Arizona,Specialty Espresso,Go Bananas Girl,1.0,Regular,,"Iced 24 oz, Whole",US$7.50,US$0.00,US$7.50,US$0.42,BS5HrPducooDy613Ich3AqstQsEZY,bf96eNAS5UxCQpbTSJUlMyaJj7dZY,Square Terminal 4334,No hazel,https://app.squareup.com/dashboard/sales/transactions/BS5HrPducooDy613Ich3AqstQsEZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,HKHVHBVF609QBTCCWZVBXTRYQ8,Andre Riddick,,ea,1,Physical Good,,Toasted Bean Coffee,KTRNOWCOKJPRKPT44TCF5C2D,Visa,2011
2025-06-18,08:48:01,Arizona,June specials,Sour cactus punch,1.0,Regular,,1x pump base,US$7.00,US$0.00,US$7.00,US$0.39,P5H4MbU3CwKW98DPN1DPEEJSgyVZY,TrxgQwHGxGiTdxZGiYYi1kRxIwAZY,Square Terminal 4334,Lemonade with sour candy syrup and a sour candy on top,https://app.squareup.com/dashboard/sales/transactions/P5H4MbU3CwKW98DPN1DPEEJSgyVZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,3TFM0HZKWCD9V3ZH2XBVD747D0,,,ea,1,Physical Good,,Toasted Bean Coffee,RBK44BG3QX2KUDLIZHXBW3AH,Visa,5489
2025-06-18,08:35:14,Arizona,Specialty Espresso,Cinnamoney,1.0,Regular,,"Iced 24 oz, Whole",US$7.00,US$0.00,US$7.00,US$0.39,3ZbTU6mZXeFxLExG46PRDiDpbUcZY,lYX2e6hJ8r7G8hPltUoy3yF9iTOZY,Square Terminal 4334,Brown sugar cinnamon & honey,https://app.squareup.com/dashboard/sales/transactions/3ZbTU6mZXeFxLExG46PRDiDpbUcZY/by-unit/LQ44G3RPEGR9T,Payment,Toasted Bean Coffee,For Here,,,,ea,1,Physical Good,,Toasted Bean Coffee,Q4WJJLJZ4PCER4N42ZR54X2P,Visa,6848
