sales-trends
Report range
Current, 6/18/2025,  
Comparison, 6/17/2025,  

"Current","Current Gross sales","Comparison","Comparison Gross sales"
"12 AM","$0.00","12 AM","$0.00"
"1 AM","$0.00","1 AM","$0.00"
"2 AM","$0.00","2 AM","$0.00"
"3 AM","$0.00","3 AM","$0.00"
"4 AM","$0.00","4 AM","$0.00"
"5 AM","$0.00","5 AM","$0.00"
"6 AM","$0.00","6 AM","$0.00"
"7 AM","$75.82","7 AM","$0.00"
"8 AM","$140.72","8 AM","$0.00"
"9 AM","$27.90","9 AM","$0.00"
"10 AM","$0.00","10 AM","$0.00"
"11 AM","$0.00","11 AM","$0.00"
"12 PM","$0.00","12 PM","$0.00"
"1 PM","$0.00","1 PM","$0.00"
"2 PM","$0.00","2 PM","$0.00"
"3 PM","$16.64","3 PM","$0.00"
"4 PM","$0.00","4 PM","$0.00"
"5 PM","$0.00","5 PM","$0.00"
"6 PM","$0.00","6 PM","$0.00"
"7 PM","$0.00","7 PM","$0.00"
"8 PM","$0.00","8 PM","$0.00"
"9 PM","$0.00","9 PM","$0.00"
"10 PM","$0.00","10 PM","$0.00"
"11 PM","$0.00","11 PM","$0.00"

sales-trends
Report range
Current, 6/12/2025, 6/18/2025 
Comparison, 6/05/2025, 6/11/2025 

"Current","Current Gross sales","Comparison","Comparison Gross sales"
"Jun 12, 2025","$255.02","Jun 5, 2025","$188.64"
"Jun 13, 2025","$0.00","Jun 6, 2025","$0.00"
"Jun 14, 2025","$320.48","Jun 7, 2025","$0.00"
"Jun 15, 2025","$10.40","Jun 8, 2025","$236.16"
"Jun 16, 2025","$222.88","Jun 9, 2025","$148.56"
"Jun 17, 2025","$0.00","Jun 10, 2025","$129.38"
"Jun 18, 2025","$261.08","Jun 11, 2025","$261.42"

sales-trends
Report range
Current, 4/01/2025, 5/31/2025 
Comparison, 4/02/2024, 6/01/2024 

"Current","Current Gross sales","Comparison","Comparison Gross sales"
"Apr 1, 2025","$476.40","Apr 2, 2024","$0.00"
"Apr 8, 2025","$0.00","Apr 9, 2024","$0.00"
"Apr 15, 2025","$913.32","Apr 16, 2024","$0.00"
"Apr 22, 2025","$287.24","Apr 23, 2024","$0.00"
"Apr 29, 2025","$1,189.62","Apr 30, 2024","$0.00"
"May 6, 2025","$2,102.54","May 7, 2024","$0.00"
"May 13, 2025","$334.72","May 14, 2024","$0.00"
"May 20, 2025","$1,108.20","May 21, 2024","$0.00"
"May 27, 2025","$614.60","May 28, 2024","$0.00"
"May 31, 2025","$614.60","Jun 1, 2024","$0.00"

