Sales,04/01/2025-04/30/2025,05/01/2025-05/31/2025,06/01/2025-06/18/2025
Gross Sales,"US$2,240.06","US$4,786.58","US$2,156.24"
Items,"US$2,197.60","US$4,653.35","US$2,088.00"
Service Charges,US$42.46,US$133.23,US$68.24
Returns,-US$22.00,US$0.00,US$0.00
Discounts & Comps,-US$256.50,-US$622.00,-US$89.50
Net Sales,"US$1,961.56","US$4,164.58","US$2,066.74"
Gift Card Sales,US$0.00,US$0.00,US$0.00
Tax,US$107.41,US$227.32,US$112.47
Tip,US$253.30,US$402.38,US$186.67
Refunds by Amount,US$0.00,US$0.00,US$0.00
Total,"US$2,322.27","US$4,794.28","US$2,365.88"
,,,
Payments,,,
Total Collected,"US$2,322.27","US$4,794.28","US$2,365.88"
Cash,US$164.38,US$384.88,US$321.50
Card,"US$2,157.89","US$4,409.40","US$2,044.38"
Other,US$0.00,US$0.00,US$0.00
Gift Card,US$0.00,US$0.00,US$0.00
Fees,-US$73.05,-US$149.70,-US$68.36
Net Total,"US$2,249.22","US$4,644.58","US$2,297.52"
